building,country,city,height_m,height_ft,height_px,floors,completed,image
Burj Khalifa,United Arab Emirates,Dubai,828,2717,276,163,2010,1.jpg
Merdeka 118,Malaysia,Kuala Lumpur,679,2227,226,118,2024,2.jpg
Shanghai Tower, China, Shanghai,632,2073,210,128,2015,3.jpg
Abraj Al-Bait Clock Tower,Saudi Arabia,Mecca,601,1972,200,120,2012,4.jpg
Ping An Finance Center,China,Shenzhen,599,1966,198,115,2017,5.jpg
Lotte World Tower,South Korea,Seoul,555,1819,183,123,2016,6.jpg
One World Trade Center,United States,New York City,541,1776,180,94,2014,7.jpg
Guangzhou CTF Finance Centre,China,Guangzhou,530,1740,174,111,2016,8.jpg
Tianjin CTF Finance Centre,China,Tianjin,530,1740,174,98,2019,9.jpg
CITIC Tower,China,Beijing,528,1731,173,108,2018,10.jpg
Taipei 101,Taiwan,Taipei,508,1667,169,101,2004,11.jpg
Shanghai World Financial Center,China,Shanghai,492,1614,164,101,2008,12.jpg
International Commerce Centre,China,Hong Kong,484,1588,161,108,2010,13.jpg
Whuhan Greenland Center,China,Wuhan,476,1560,156,126,2019,14.jpg
Central Park Tower,United States,New York City,472,1550,154,98,2020,15.jpg
